iter	Passed	Remaining
0	145	145083
1	145	72780
2	146	48686
3	147	36660
4	147	29439
5	148	24611
6	149	21160
7	149	18574
8	150	16566
9	151	14960
10	151	13648
11	152	12546
12	152	11613
13	153	10813
14	154	10119
15	154	9512
16	155	8976
17	155	8499
18	156	8073
19	156	7687
20	157	7337
21	157	7020
22	158	6733
23	159	6467
24	159	6221
25	160	5993
26	160	5783
27	161	5589
28	161	5411
29	162	5241
30	162	5084
31	163	4935
32	163	4797
33	164	4665
34	164	4541
35	165	4428
36	166	4321
37	166	4217
38	167	4117
39	167	4022
40	168	3931
41	168	3845
42	169	3763
43	169	3684
44	170	3609
45	170	3536
46	171	3468
47	171	3402
48	172	3354
49	173	3294
50	173	3237
51	174	3181
52	175	3128
53	175	3077
54	176	3029
55	176	2982
56	177	2937
57	178	2895
58	178	2853
59	179	2812
60	180	2775
61	180	2737
62	181	2701
63	182	2665
64	182	2630
65	183	2596
66	184	2563
67	184	2531
68	185	2501
69	186	2471
70	186	2443
71	187	2422
72	188	2394
73	189	2367
74	189	2341
75	190	2316
76	191	2292
77	191	2269
78	192	2245
79	193	2223
80	194	2201
81	194	2180
82	195	2156
83	195	2135
84	196	2114
85	197	2094
86	197	2075
87	198	2056
88	199	2038
89	199	2019
90	200	2003
91	201	1986
92	201	1969
93	202	1952
94	203	1936
95	203	1920
96	204	1904
97	205	1889
98	205	1874
99	206	1860
100	207	1846
101	208	1832
102	208	1818
103	209	1805
104	210	1791
105	210	1778
106	211	1765
107	212	1752
108	212	1740
109	213	1728
110	214	1716
111	215	1704
112	215	1693
113	216	1681
114	217	1670
115	217	1659
116	218	1647
117	218	1636
118	219	1625
119	220	1615
120	221	1605
121	221	1594
122	222	1584
123	223	1575
124	223	1566
125	224	1556
126	224	1546
127	225	1537
128	226	1528
129	227	1519
130	227	1510
131	228	1501
132	229	1493
133	229	1484
134	230	1476
135	231	1467
136	231	1459
137	232	1451
138	233	1444
139	233	1436
140	234	1428
141	234	1419
142	235	1412
143	236	1405
144	237	1398
145	237	1390
146	238	1383
147	239	1376
148	239	1369
149	240	1362
150	241	1355
151	241	1348
152	242	1343
153	243	1336
154	244	1330
155	244	1323
156	245	1317
157	246	1311
158	246	1305
159	247	1299
160	247	1291
161	248	1285
162	249	1279
163	249	1274
164	250	1268
165	251	1263
166	252	1258
167	252	1252
168	253	1246
169	254	1241
170	254	1236
171	255	1230
172	256	1225
173	257	1220
174	257	1214
175	258	1209
176	259	1204
177	259	1199
178	260	1194
179	261	1189
180	261	1184
181	262	1179
182	263	1174
183	263	1169
184	264	1164
185	265	1160
186	265	1156
187	266	1151
188	267	1147
189	268	1142
190	268	1138
191	269	1133
192	270	1129
193	270	1124
194	271	1120
195	272	1116
196	272	1112
197	273	1107
198	274	1103
199	274	1099
200	275	1095
201	276	1091
202	276	1087
203	277	1083
204	278	1079
205	278	1075
206	279	1071
207	280	1068
208	281	1064
209	282	1061
210	282	1057
211	283	1053
212	284	1049
213	284	1046
214	285	1043
215	286	1039
216	287	1036
217	287	1032
218	288	1028
219	289	1025
220	289	1021
221	290	1018
222	291	1014
223	291	1011
224	292	1007
225	293	1004
226	293	1001
227	294	997
228	295	994
229	296	991
230	296	988
231	297	985
232	298	982
233	299	979
234	300	976
235	300	973
236	301	970
237	302	967
238	302	964
239	303	961
240	304	957
241	304	955
242	305	951
243	306	948
244	306	945
245	307	942
246	308	939
247	308	936
248	309	934
249	310	931
250	311	928
251	312	926
252	312	923
253	313	920
254	314	918
255	315	915
256	315	912
257	316	909
258	317	907
259	317	904
260	318	902
261	319	899
262	319	896
263	320	894
264	321	891
265	322	888
266	322	886
267	323	883
268	324	880
269	324	878
270	325	876
271	326	873
272	328	875
273	329	873
274	330	871
275	331	869
276	332	866
277	332	864
278	333	862
279	334	859
280	334	857
281	335	854
282	336	852
283	337	849
284	337	847
285	338	844
286	339	842
287	340	840
288	340	838
289	341	836
290	342	833
291	343	831
292	343	829
293	344	827
294	345	825
295	346	822
296	346	820
297	347	818
298	348	816
299	348	814
300	349	811
301	350	809
302	350	807
303	351	805
304	352	802
305	353	800
306	353	798
307	354	796
308	355	794
309	356	792
310	356	790
311	357	788
312	358	786
313	359	784
314	359	782
315	360	780
316	361	778
317	362	776
318	362	774
319	363	772
320	364	770
321	364	768
322	365	766
323	366	764
324	366	762
325	367	760
326	368	758
327	369	756
328	370	754
329	370	752
330	371	750
331	372	749
332	373	747
333	373	745
334	374	743
335	375	741
336	375	739
337	376	737
338	377	735
339	377	733
340	378	731
341	379	729
342	379	727
343	380	725
344	381	723
345	381	722
346	382	720
347	383	718
348	384	717
349	385	715
350	386	713
351	386	711
352	387	709
353	388	708
354	388	706
355	389	704
356	390	702
357	390	700
358	391	699
359	392	697
360	392	695
361	393	693
362	394	692
363	395	690
364	395	688
365	396	686
366	397	685
367	398	683
368	398	682
369	399	680
370	400	679
371	401	677
372	402	676
373	403	674
374	404	673
375	404	671
376	405	670
377	406	668
378	407	666
379	407	665
380	408	663
381	409	662
382	410	661
383	412	661
384	413	659
385	415	660
386	416	658
387	416	657
388	417	655
389	418	654
390	419	652
391	419	651
392	420	649
393	421	648
394	422	646
395	423	645
396	424	644
397	425	643
398	426	641
399	426	640
400	427	639
401	428	637
402	429	636
403	430	634
404	431	633
405	431	631
406	432	630
407	433	629
408	434	627
409	435	626
410	435	624
411	436	622
412	437	621
413	437	619
414	438	618
415	439	616
416	440	615
417	440	613
418	441	612
419	442	610
420	443	609
421	443	607
422	444	606
423	445	605
424	446	603
425	446	602
426	447	600
427	448	598
428	448	597
429	449	595
430	450	594
431	450	592
432	451	591
433	452	589
434	453	588
435	453	587
436	454	585
437	455	584
438	456	583
439	456	581
440	457	580
441	458	578
442	459	577
443	459	575
444	460	574
445	461	573
446	462	571
447	462	570
448	463	568
449	464	567
450	464	566
451	465	564
452	466	563
453	467	561
454	467	560
455	468	559
456	469	557
457	470	556
458	470	554
459	471	553
460	472	552
461	472	550
462	473	549
463	474	547
464	475	546
465	475	545
466	476	543
467	477	542
468	477	540
469	478	539
470	479	538
471	479	536
472	480	535
473	481	534
474	481	532
475	482	531
476	483	529
477	483	528
478	484	527
479	485	525
480	486	524
481	486	523
482	487	521
483	488	520
484	488	519
485	489	517
486	490	516
487	491	515
488	491	513
489	492	512
490	493	511
491	493	509
492	494	508
493	495	507
494	496	506
495	496	504
496	497	503
497	498	502
498	498	500
499	499	499
500	500	498
501	500	496
502	501	495
503	502	494
504	502	492
505	503	491
506	504	490
507	505	489
508	505	487
509	506	486
510	507	485
511	507	483
512	508	482
513	509	481
514	510	480
515	510	479
516	511	477
517	512	476
518	512	475
519	513	473
520	514	472
521	514	471
522	515	470
523	516	468
524	516	467
525	517	466
526	518	465
527	519	464
528	519	462
529	520	461
530	521	460
531	521	459
532	522	457
533	523	456
534	523	455
